Hand Direction_X,Hand Direction_Y,Hand Direction_Z,THUMB_X,THUMB_Y,THUMB_Z,INDEX_X,INDEX_Y,INDEX_Z,MIDDLE_X,MIDDLE_Y,MIDDLE_Z,RING_X,RING_Y,RING_Z,PINKY_X,PINKY_Y,PINKY_Z,RESULT
-0.17447193,-0.36209625,-0.9156669,-0.8563056,-0.23293424,-0.4609581,-0.18376824,-0.9206706,-0.344376,0.044899438,0.29881912,0.9532529,-0.11174869,0.35351542,0.92872983,-0.2937502,0.36165693,0.8848249,0
-0.17290002,-0.3603778,-0.9166425,-0.856172,-0.23251256,-0.46141884,-0.18419331,-0.91942537,-0.34746203,0.044224557,0.2980094,0.95353794,-0.112049595,0.35066402,0.929774,-0.2936584,0.3555482,0.88732755,0
-0.17515202,-0.35838428,-0.9169964,-0.8568136,-0.23162837,-0.46067208,-0.18523864,-0.91782117,-0.3511281,0.04604241,0.29705223,0.95375055,-0.11044373,0.34932566,0.93046963,-0.29134786,0.35358423,0.8888727,0
-0.17765462,-0.35938242,-0.9161239,-0.8558631,-0.23575576,-0.46034512,-0.18440291,-0.9161985,-0.3557751,0.049704142,0.301571,0.95214725,-0.10778215,0.35047445,0.93034977,-0.2885141,0.35584342,0.88889545,0
-0.17870446,-0.35893783,-0.91609406,-0.85364044,-0.24198161,-0.46124065,-0.18456204,-0.9129597,-0.36392498,0.051703144,0.30442858,0.9511309,-0.10565247,0.35091045,0.9304297,-0.28707093,0.357232,0.8888057,0
-0.17903511,-0.35776427,-0.91648847,-0.8507312,-0.24953574,-0.46258873,-0.1856387,-0.90975976,-0.3713159,0.05265175,0.30662048,0.9503745,-0.10449018,0.34931016,0.93116283,-0.28616077,0.3571046,0.8891503,0
-0.1788353,-0.35666263,-0.9169568,-0.8485309,-0.25369334,-0.46436515,-0.18700677,-0.90630305,-0.379003,0.051997006,0.3051399,0.9508869,-0.1045758,0.34950516,0.93108004,-0.28677142,0.35801616,0.8885868,0
-0.17971425,-0.35459056,-0.9175883,-0.8463915,-0.25680465,-0.46655416,-0.18591617,-0.9035265,-0.3861024,0.054049715,0.29535228,0.9538583,-0.10374745,0.34857804,0.93152016,-0.28608063,0.3557492,0.88971925,0
-0.1797363,-0.35144216,-0.91879445,-0.84505886,-0.25632036,-0.4692285,-0.18386096,-0.90066886,-0.39368868,0.054753233,0.28896898,0.95577145,-0.102603465,0.34719792,0.93216205,-0.2856024,0.35322893,0.8908763,0
-0.17944714,-0.34632942,-0.92079026,-0.8418466,-0.25960952,-0.47317776,-0.18148601,-0.8988982,-0.39880437,0.05654271,0.28056377,0.9581685,-0.09916604,0.34150478,0.9346339,-0.28269023,0.3450312,0.8950082,0
